Singer	Title	Actual lyrics	text	
Arijit Singh	Aaj Phir Tumpe Pyaar Aaya Hai	"Aaj phir tumpe pyar aaya hai Aaj phir tumpe pyar aaya hai Behad aur beshumaar aaya hai Aaj phir tumpe pyar aaya hai Aaj phir tumpe pyar aaya hai Behad aur beshumaar aaya hai Toote Toh Toote, Teri Baahon Mein Aise Jaise, Shaakon Se Patte Behaya Bikhre Tujhi Se, Aur Simte Tujhi Mein Tu Hi Mera Sab, Le Gaya Na Fikar, Na Sharam, Na Lihaaz, Ek Baar Aaya Na Fikar, Na Sharam, Na Lihaaz, Ek Baar Aaya Phir Zarre Zarre Mein Deedar Aaya Hai Phir Zarre Zarre Mein Deedar Aaya Hai Behad Aur Beshumar Aaya Hai Aaj Phir Tumpe Pyaar Aaya Hai Aaj Phir Tumpe Pyaar Aaya Hai Behad Aur Beshumar Aaya Hai Tu hi meri awaaragi Tu hi dua har sham ki Tu khamakha, tu lazmi Tu hi raza tu hi kami Aur tu hi woh firaq hai jisko Aur tu hi woh firaq hai jisko Hai silsilo ne mere paas laya Hothon pe tere izhaar aaya hai Hothon pe tere izhaar aaya hai Behad aur beshumaar aaya hai Aaj phir tumpe pyar aaya hai Aaj phir tumpe pyar aaya hai Behad aur beshumaar aaya hai Aaj phir tumpe pyar aaya hai Aaj phir tumpe pyar aaya hai Behad aur beshumaar aaya hai

"	"I broke and fell in Your arms in such a way
Like a leaf falls from a tree carelessly
You broke me but I finally got united with You
You took away everything of mine
I had no worries, shame or care for even a moment
In every cell of mine, there’s a desire to see You
In every cell of mine, there’s a desire to see You
It is limitless and infinite.
Today I feel love for you again
Today I feel love for you again
It is limitless and infinite.You are my carefreeness
You are my evening prayer
You are reasonlessly essential to me
You are my desire yet you are missing
And you are that quest whom1
These chain of events brought to me.
Your lips are expressing (something)
Your lips are expressing (something)
It is limitless and infinite."	
Arijit Singh	aasan nahin yahan	"Woh oh oh oh
 
Aasaan nahi yahaan aashiq ho jaana
Palkon pe kaanton ko sajaana
Aashiq ko milti hai gham ki saugaatein
Sabko naa milta yeh khazaana
 
Woh oh oh oh
 
Baaton se aage, waadon se aage
Dekho zara tum kabhi ho o..
Yeh to hai shola, yeh hai chingari
Yeh hai jawaag bhi
 
Woh oh oh oh
 
Jismon ke peechhe bhaage ho phirte
Utro kabhi rooh mein ho..
Hota kya aashiq, kya aashiqhi hai
Hogi khabar tab tumhein
 
Woh oh oh oh"	"Woh oh oh oh
 
It's not easy, over here, to fall in love
It's like aligning thorns on one's eyelashes
What lover gets out of this is just sorrows
Not everyone can explore this treasure
 
Woh oh oh oh
 
Beyond those talks, beyond those promises,
Just try to look beyond for once
It's like a flame, like fire
It's like ashes
 
Woh oh oh oh
 
You keep running behind the body
Try to go deep into the soul
Who's a lover, What's love;
Only then will you be able to know
 
Woh oh oh oh"	2
Arijit Singh	Ae Dil Hai Mushkil	"Tu safar mera
Hai tu hi meri manzil
Tere bina guzara
Ae dil hai mushkil
 
Tu mera Khuda
Tu hi dua mein shaamil
Tere bina guzara
Ae dil hai mushkil
 
Mujhe aazmaati hai teri kami
Meri har kami ko hai tu laazmi
Junoon hai mera
Banoo main tere qaabil
Tere bina guzara
Ae dil hai mushkil
 
Yeh rooh bhi meri
Yeh jism bhi mera
Utna mera nahin
Jitna hua tera
 
Tune diya hai jo
Woh dard hi sahi
Tujhse mila hai toh
Inaam hai mera
 
Mera asmaan dhoondhe teri zameen
Meri har kami ko hai tu laazmi
 
Zameen pe na sahi
Toh aasmaan mein aa mil
 
Tere bina guzara
Ae dil hai mushkil
 
Maana ki teri maujoodgi se
Ye zindagaani mehroom hai
Jeene ka koi dooja tareeka
Na mere dil ko maaloom hai
 
Tujhko main kitni
Shiddat se chaahun
Chaahe toh rehna tu bekhabar
 
Mohtaaj manzil ka toh nahin hai
Ye ek tarfa mera safar safar
Khoobsurat hai manzil se bhi
Meri har kami ko hai tu laazmi
 
Adhura ho ke bhi
Hai ishq mera qaamil
 
Tere bina guzara
Ae dil hai mushkil
 
Ek tarfa pyaar ki taakat hi kuchh aur hoti hai
Auron ke rishte ki tarah yeh do logon mein
Nahin bant ti Sirf mera haq hai iss pe
 
Ae dil hai mushkil"	"You are my journey
And you are my destination
To live without you,
O heart, is tough
 
You are my God
And you are in my prayers
To live without you,
O heart, is tough
 
Your absence tests me
For every deficit do I need you
It's my passion to become
Good enough for you
To live without you,
O heart, is tough
 
My soul is not mine
My body does not belong to me
As much as it
Belongs to you
 
Even if I have received
Only pain from you
As I have received it from you
It is a reward for me
 
My sky searches your earth
For every deficit do I need you
 
If not on earth
Meet me in the sky
 
To live without you,
O heart, is tough
 
I agree that my life is
Lacking your presence but
My heart does not know
Any other way to live
 
If you wish
You can stay unaware
Of the strength with which I love you
 
My one-sided journey
Is not dependent on destination
This journey is even more gorgeous than destination
For every deficit do I need you
 
Even though I'm incomplete
My love is complete
 
To live without you,
O heart, is tough
 
There's nothing like the power of unrequited love
Unlike other bonds, it isn't shared
It's mine, and mine alone
 
O heart, it's tough..."	3
Arijit Singh	Binte dil	"bīnatē dila misriyā mēṁ
 
pēśa hai kula śabāba
ḵẖidamata-ē-ālī janāba
pēśa hai kula śabāba
ḵẖidamata-ē-ālī janāba
ātiśa kadā adā'ōṁ sē
ātiśa kadā adā'ōṁ sē
jala uṭhēgā āpakē
dīdā-ē tara jā hizāba
 
bīnatē dila misriyā mēṁ
bīnatē dila misriyā mēṁ..
 
mahakaśa labōṁ pē ānē lagī haiṁ
pyāsī kurbatēṁ
hairata zadā ṭhikānē lagī haiṁ
sārī phurqatēṁ
 
kārijōṁ pē mērē likha zarā
riphvātēṁ cāhatōṁ kā silā..
 
bīnatē dila misriyā mēṁ
bīnatē dila misriyā mēṁ
 
pēśa hai kula śabāba
ḵẖidamata-ē-ālī janāba
pēśa hai kula śabāba
ḵẖidamata-ē-ālī janāba
ātiśa kadā adā'ōṁ sē
ātiśa kadā adā'ōṁ sē
jala uṭhēgā āpakē
dīdā-ē tara jā hizāba
 
bīnatē dila misriyā mēṁ
bīnatē dila misriyā mēṁ.."	"The girl of heart is in Egypt
 
At your service my lord,
I present to you all of this beauty
At your service my lord,
I present to you all of this beauty
With these seductive desirable gestures
With these seductive desirable gestures
will burn your
veil of tearful eyes
(that is, my beauty will make you forget all your sorrows )
 
The girl of heart is in Egypt (2 times)
 
Liquored lips have started to feel
the thirst of closeness
The amazement has driven away
the pain of separation
 
On my cheeks write down
The progress and the results of my love"	
Arijit Singh	Channa Mereya	"Acha chalta hoon
Duaaon mein yaad rakhna
Mere zikr ka zubaan pe swaad rakhna (x2)
 
Dil ke sandookon mein
Mere ache kaam rakhna
Chitthi taaron mein bhi
Mera tu salaam rakhna
 
Andhera tera maine le liya
Mera ujla sitaara tere naam kiya
 
Channa mereya mereya
Channa mereya mereya
Channa mereya mereya beliya
O piya.. (x2)
 
Mm.. mehfil me teri hum naa rahe jo
Gham toh nahi hai, gham toh nahi hai
Qisse humare nazdeekiyon ke
Kam to nahi hai, kam to nahi hai
 
Kitni dafaa subah ko meri
Tere aangan mein baithe maine shaam kiya
 
Channa mereya mereya
Channa mereya mereya
Channa mereya mereya beliya
O piya.. (x2)
 
Tere rukh se apna raasta mod ke chala
Chandan hoon main
Apni khushboo chodke chala
Mann ki maya rakhke tere takiye tale
Bairagi, bairagi ka sooti chaula
Odh ke chala
 
(Channa mereya mereya
Channa mereya mereya
Channa mereya mereya)
 
O Piya.."	"Alright, I'm leaving now.
Please remember me in your prayers,
keep the taste of my name
on your tongue...
 
Keep my good deeds
in the box of your heart,
and also keep my greetings
in the letters and telegrams.
 
I have taken your darkness upon myself,
and named my bright shining star to you.
Oh my moon,
Oh my, my moon,
Oh my beloved moon..
Oh my beloved.
 
Although I'm no longer in your gatherings,
there is no sadness,
there is no sadness..
stories of ours of our closenesses,
aren't any less,
aren't any less
so many times I have turned
my mornings into evenings sitting in your presence.
 
Oh my moon,
Oh my, my moon,
Oh my beloved moon..
Oh my beloved.
 
I'm turning away from your path and leaving,
Just like the sandalwood, leaving my fragrance with you...
Leaving my heart's desire under your pillow.
covering myself in a simple cotton cloth as I take my leave."	2
Arijit Singh	Cutipie	"[tērē vargī nā piṇḍa vica dūjī
pan̄jābī kō'ī cika māhiyā
kyūm̐ tū khiṛakī tē baiṭhī śarmā'ē
barāṇḍē uttē dikha māhiyā] x 2
 
[bannō ṭaśana tērā ati phaiṇṭāsṭika
sōśala mīḍiyā pē hukama calāyē
fōna pē bātēṁ karē apanē lēphṭa haiṇḍa sē
rā'īṭa haiṇḍa pē mēham̐dī lagā'ē] x 2
 
bŏyaphrēṇḍa kī tujhē kō'ī phikara nahīṁ
pahalē ḍēṭa pē kahē, ōkē bāya
dēvadāsa kī taraha afasōsa vō karē
tē tū hansa kē inōsēṇṭa sī śakala banāyē
kyūṭīpāya kyūṭīpāya..
 
lāla parāndā bām̐dha kē jaba tū lāka matakandī ai
kriṭikala kaṇḍīśana mēṁ sabakā dila kara jāndī ai
sīnē mēṁ aramāṁ hazārōṁ tū jindā karakē
kandhē kā ṭaiṭū dikhalā kē kila kara jāndī ai
 
tērē vargī nā piṇḍa vica dūjī
pan̄jābī kō'ī cika māhiyā
kyūm̐ tū khiṛakī tē baiṭhī śarmā'ē
barāṇḍē uttē dikha māhiyā
 
sēṇṭa lagā kē tērā pārṭiyōṁ mēṁ jānā
āśiqa fasānē kā tarīkā hai purānā
sēṇṭa lagā kē tērā pārṭiyōṁ mēṁ jānā
āśiqa fasānē kā tarīkā hai purānā
 
tana-badana kē tū sura sārē chēṛa dē
munha sē lagā'ē binā bānsurī bajāyē
nīnda curānā naujavānōṁ kī tō ṭhīka hai
buḍḍhōṁ kā kāhē blaḍa prēśara baṛhāyē
 
bŏyaphrēṇḍa kī tujhē kō'ī phikara nahīṁ
pahalē ḍēṭa pē kahē, ōkē bāya
dēvadāsa kī taraha afasōsa vō karē
tē tū hansa kē inōsēṇṭa sī śakala banāyē
 
kyūṭīpā'ī kyūṭīpā'ī..
āyē hāya kyūṭī kyūṭīpā'ī..
kyūṭīpāya kyūṭīpāya..
āyē hāya kyūṭī kyūṭīpā'ī.."	"There is no other Punjabi (belonging to Punjab state of India) girl in the village, like you,
Why do you keep staring out of the window; come out in the open.
 
Oh Bride! Your fantastic style rules the social media.
She holds the phone in her left hand, while there is mehendi (paste to make colorful designs on the body) on her right hand.
 
You dont care about your boyfriends and bid them goodbye on the very first date;
Poor boyfriends dip into sadness and you smile with an innocent face
Cutiepie...
 
With red ribbon tying your hair and twisting your waist,
You put everyone's heart in a critical condition.
You arouse feelings in the heart and kill with a glimpse of your tattoo.
 
There is no other Punjabi (belonging to Punjab state of India) girl in the village, like you,
Why do you keep staring out of the window; come out in the open.
 
You wear fragrance/ perfume at parties, a way to lure the guys,
This is your usual way.
You wear fragrance/ perfume at parties, a way to lure the guys,
This is your usual way.
 
You put the mind and soul into a rythm,
And play the flute without touching it.
Its fine to make guys loose their sleep,
But why don't you spare the old folks?
 
You dont care about your boyfriends and bid them goodbye on the very first date;
Poor boyfriends dip into sadness and you smile with an innocent face
Cutiepie...
 
Cutiepie...."	
Arijit Singh	Dilli wali girlfriend	"Tere liye hi to signal tod taad kay
Aaya dilli wali girlfriend chhod chhaad kay
 
O teree aankh da ishaaraa mujhay fraud lagay
Tu to Majnoo aawaaraa by God lagay
 
O kasmein waade kha ke apnee pocket money bachaa kay
Aaya tere liye paise waise jod jaad kay..
 
Ghar waalon ko bhi bye-shai bol-baal kay
Aaya dilli wali girlfriend chhod-chhaad kay
 
Tere liye hi toh signal tod taad ke
Aaya Dilli wali girlfriend chhod chhad ke
 
O what a look, what a grace
Tenu hi karaan main chase
What a naksh, what a nayn
Dil teraa ho gayaa fan
What a smile, what a style..
Kabhee soft, kabhee rude kinnaa teraa attitude
 
Teri galee mein bhi aanaa start kar diyaa
Ik tere naam apnaa heart kar diyaa
Karne lagaa aankh matakkaa
Ab to aashiq ban gayaa pakkaa
 
Aaj abhi maine teraa boycott kar diyaa
Teree saaree harkatein main to note karoon
Tujhe thaaney mein le jaa ke main report karoon
 
Tu naa kar aise fight
Teraa mood main karoon light
Tujhay scene main dikhaa ke Gol mal ke
 
Naam teraa hi likhaaya maine wedding card pay
Aaya dilli wali girlfriend chhod chhaad ke
Chal jhuttha.. mere liye signal tod taad kay
Aaya dilli waali girlfriend chhod chhaad ke"	"For you only, breaking all signals
I came here, leaving my girlfriend from Delhi..
 
The wink of your eye looks like a fraud to me..
By God, you look like a fake useless lover to me..
 
Making promises, and saving my pocket money,
I have come here, with some savings for you only..
 
I have said bye-etc to my folks,
and come here, leaving my girldfriend from Delhi..
 
For you only, breaking all signals
I came here, leaving my girlfriend from Delhi..
 
O what a look, what a grace
I chase you only..
What a great face, what beautiful eyes,
The heart has become a fan of yours..
What a smile and what a style,
Sometimes soft and sometimes rude, I love your attitude..
 
I have begun to roam your street also,
I have written my heart in your name..
I have begun playing the games of love with you,
Now I have become a complete loverboy..
 
Today, now itself I boycott you..
I'll note all your mischieves
and report you in the police station..
 
Don't fight like that,
I'll show you the scenes of Gol mal [the film]
and make your mood light..
 
I got your name only written on the wedding card,
and come here, leaving my girlfriend from Delhi..
Go away, liar! as if for me you broke all the signals
and came here, leaving your girlfriend from Delhi.."	1
Arijit Singh	Haareya	"Dekheya main chaand dekheya
Nooran waale sitaare dekheya
Par tere jaisa na koi dekheya main
 
Lagta hai nigaahon mein teri
Bin doobe rehna hi nahi
Mujhe ishq yeh karne se
Ab koi bhi na rok sakeya
 
O haareya main dil haareya
O haareya main dil haareya
O haareya main dil haareya
Main haara tujhpe o..
 
O hareya main dil hareya
O hareya main dil hareya
O hareya main dil hareya
Main haara tujhpe
Main haara tujhpe o…
mmm.. o o.. oo..
mmm.. o oo..
 
Khuli aankhon se dekha woh
Haseen khwab hai tu
Dil mein jo utar jaaye woh
Pyaari baat hai tu (x2 repeat)
 
Tere naam ka nasha nasha hai
Zubaan pe chhaa gayaa
Iss bekhudi mein doobne se
Main khud ko na rok sakeya
 
Dekheya main phool dekheya
Khushboo ke nazare dekheya
Par tere jaisa na koi dekheya main
 
Lagta hai baahon mein teri
Bikhre bin rehna hi nahi
Mujhe ishq yeh karne se
Ab koi bhi na rok sakeya
 
O haareya main dil haareya
O haareya main dil haareya
O haareya main dil haareya
Main haara tujhpe o..
 
Main hareya main dil hareya
Ke hareya main dil hareya
Lo hareya main dil hareya
Main haara tujhpe
Main haara tujhpe o…
Mmm… o o.. oo…"	"I've seen the moon
I've seen the glowing stars
But I haven’t seen anyone like you
 
I don’t want to live
unless I am submerged in your eyes
No one can stop me now
from falling in love (with you)
 
I've lost my heart, I've lost it
I've lost my heart, I've lost it
I've lost my heart, I've lost it
I've lost it to you
 
I've lost my heart, I've lost it
I've lost my heart, I've lost it
I've lost my heart, I've lost it
I've lost it to you
I've lost it to you
mmm.. o o.. oo..
mmm.. o oo..
 
With eyes wide open
I saw a beautiful dream, you
Like that sweet talk
which enters the heart, you (x2)
 
The intoxication of your name
is spread on my tongue now
I couldn't stop myself
from drowning in it
 
I've seen flowers
I've seen fragrant scenes
But I haven’t seen anyone like you
 
I don't want to live
without being scattered (embraced) in your arms
No one can stop me now
from falling in love (with you)
 
I've lost my heart, I've lost it
I've lost my heart, I've lost it
I've lost my heart, I've lost it
I've lost it to you
 
I've lost, I've lost my heart
I've lost, I've lost my heart
I've lost, I've lost my heart
I've lost it to you
I've lost it to you
Mmm… o o.. oo…"	
Arijit Singh	Hai dil Yeh mera	"Ae Yeah… Nae Yeah… Ae Eah Yeah…
Ae Yeah… Yeah Yeah… Hey Yeah…
 
Hai Dil Ye Mera, Mujhe Har Dum Ye Poochta
Kyun Hai Mujhe Tujhse Itni Wafa…
Kyun Teri Hasrat, Hai Har Khwaahish Se Badhkar Mujhe
Kyun Naam Tera Hi Leti Zubaan…
Saathi Tera Ban Jaoon Kyun Hai Ye Junoon…
Har Aansoon Tera Pee Jaoon Aur De Doon Sukoon…
Har Din Tujhko Chahoon Teri Raah Takoon…
Apni Baahon Mein Tujhko Main Salaamat Rakhoon…
 
Tere Hi Baare, Mein Hai Ab Har Zikra Mera...
Hua Hai Kaisa Asar Yeh Tera…
Koi Naseehat, Na Chaahoon Main Koi Salaah
Jo Rooh Ne Mere Tujhe Chun Liya...
Saathi Tera Ban Jaoon Kyun Hai Ye Junoon…
Har Aansoon Tera Pee Jaoon Aur De Doon Sukoon…
Har Din Tujhko Chahoon Teri Raah Takoon…
Apni Baahon Mein Tujhko Main Salaamat Rakhoon…
 
Hai Dil, Khamakhaan, Pareshaan Bada…
Isko, Koi, Samjha De Zara…
Ishq Mein Fanaa Ho Jaana, Hai Dastoor Yahi…
Jismein Ho Sabar Ki Fitrat, Wo Ishq Hi Nahi…
Samajh Bhi Ja, Aye Dil Mere, Kya Hai Ye Maajraa…
Saathi Tera Ban Jaoon Kyun Hai Ye Junoon…
Har Aansoon Tera Pee Jaoon Aur De Doon Sukoon…
Har Din Tujhko Chahoon Teri Raah Takoon…
Apni Baahon Mein Tujhko Main Salaamat Rakhoon…
 
Ae Yeah… Nae Yeah… Ae Eah Yeah…
Ae Yeah… Yeah Yeah… Hey Yeah…"	"Ae Yeah… Nae Yeah… Ae Eah Yeah…
Ae Yeah… Yeah Yeah… Hey Yeah…
 
My heart keeps asking me this every moment
Why am I so faithful to You?1
Why my desire for You is greater than any other wish of mine?
Why do my lips utter only Your name?
Why do I have deep yearning/passion to become Your partner
I want to drink every single teardrop of Yours and give away all my comfort(for You)
I desire You every single day, I gaze upon Your path all the time
I want to keep You safe in my arms
 
I talk only about You now
You’ve had such an effect upon me
I don’t need any advice or instruction (from anyone)
My soul has selected You
Why do I have deep yearning to become Your partner?
I want to drink every single teardrop of Yours and give away all my comfort
I desire You every single day, I gaze upon Your path all the time
I want to keep You safe in my arms
 
My heart is worried without any reason
May someone come and calm it
To sacrifice oneself in it, is a custom of love
If there’s a quality of patience in it, then it isn’t true love
O my heart! Please make me understand this mystery
Why do I have deep yearning to become Your partner?
I want to drink every single teardrop of Yours and give away all my comfort
I desire You every single day, I gaze upon Your path all the time
I want to keep You safe in my arms
 
Ae Yeah… Nae Yeah… Ae Eah Yeah…
Ae Yeah… Yeah Yeah… Hey Yeah…"	2
Arijit Singh	Humdard	"Pal do pal ki hi kyun hai zindagi
Is pyaar ko hai sadiyaan kaafi nahi
to khuda se maang loon
Mohalat main ik nayi
Rehna hai bas yahaan
Ab door tujhse jaana nahi
Jo tu mera humdard hai
Jo tu mera humdard hai
Suhaana har dard hai
Jo tu mera humdard hai
 
Teri muskurahatein hain taakat meri
Mujh ko inhi se ummeed mili
Chaahe kare koi sitam ye jahaan
In mein hi hai sadaa hifaazat meri
Zindagaani badi khoobsoorat hui
Jannat ab aur kya hogi kahin
 
Jo tu mera Humdard hai
Jo tu mera Humdard hai
Suhaana har dard hai
Jo tu mera Humdard hai
 
Teri dhadkanon se hai zindagi meri
Khwaahishein teri ab duaayein meri
Kitna anokhaa bandhan hai ye
Teri meri jaan jo ek hui
Lautoonga yahaan tere paas main haan
Vaada hai mera mar bhi jaaun kahin
 
Jo tu mera humdard hai
Jo tu mera humdard hai
Suhaana har dard hai
Jo tu mera humdard hai
 
hmmm.. humdard hai"	"Why is the life just a moment or two,
for this love, centuries aren't enough..
So let me ask God
for some more time, anew,
I have to live just here,
I have not to go away from you..
Now that you are there to share my pain1,
Now that you share my pain,
Every pain is beautiful,
Now that you share my pain..
 
Your smiles are my strength,
I got hope from them only.
Whatever atrocity the world does to me,
in them [these smiles] is my safety..
My life became very beautiful,
now where else would heaven be..
 
Now that you share my pain
Now that you share my pain
Every pain is beautiful,
Now that you share my pain..
 
My life is from your heartbeats,
your wishes are my prayers now..
what a unique bond it is,
that your and my life have become one..
I'll come back to you only..
It's my promise, even if I die..
 
Now that you share my pain
Now that you share my pain
Every pain is beautiful,
Now that you share my pain..
 
Hmmm.. You're my sympathizer..."	2
